,precision,recall,f1-score,support
Adult,0.8958837772397095,0.7724425887265136,0.8295964125560539,479.0
Senior,0.3057324840764331,0.5274725274725275,0.3870967741935484,91.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.6008081306580713,0.6499575580995205,0.6083465933748011,570.0
weighted avg,0.8016666409627653,0.7333333333333333,0.7589517334490574,570.0
